meter_id,risk_level,risk_score,total_anomalies,percent_anomalous,max_streak_days,worst_anomaly_score,last_anomaly_date,alert_message
MTR_003,High,100.0,14,0.019178082191780823,1,-0.05823984705762053,2008-11-23, ALERT: Meter MTR_003 classified as High risk (Risk Score: 100.0). 14 anomalous days detected with a maximum streak of 1 days. Last anomaly observed on 2008-11-23. Recommended for inspection review.
MTR_009,High,69.2,15,0.02054794520547945,2,-0.049900830495239745,2008-11-23, ALERT: Meter MTR_009 classified as High risk (Risk Score: 69.2). 15 anomalous days detected with a maximum streak of 2 days. Last anomaly observed on 2008-11-23. Recommended for inspection review.
MTR_006,Medium,58.2,15,0.02054794520547945,2,-0.047638903260251664,2008-11-23, ALERT: Meter MTR_006 classified as Medium risk (Risk Score: 58.2). 15 anomalous days detected with a maximum streak of 2 days. Last anomaly observed on 2008-11-23. Recommended for inspection review.
MTR_010,Medium,44.1,15,0.02054794520547945,2,-0.0447591379968888,2008-11-23, ALERT: Meter MTR_010 classified as Medium risk (Risk Score: 44.1). 15 anomalous days detected with a maximum streak of 2 days. Last anomaly observed on 2008-11-23. Recommended for inspection review.
MTR_002,Medium,43.5,14,0.019178082191780823,2,-0.04464452992311729,2008-11-23, ALERT: Meter MTR_002 classified as Medium risk (Risk Score: 43.5). 14 anomalous days detected with a maximum streak of 2 days. Last anomaly observed on 2008-11-23. Recommended for inspection review.
MTR_007,Low,32.0,14,0.019178082191780823,2,-0.04228937960420631,2008-11-23,No immediate inspection required.
MTR_004,Low,25.0,15,0.02054794520547945,2,-0.04086882574843531,2008-11-23,No immediate inspection required.
MTR_005,Low,23.9,15,0.02054794520547945,2,-0.04064376384720536,2008-11-23,No immediate inspection required.
MTR_008,Low,17.8,15,0.02054794520547945,2,-0.039378086770406884,2008-11-23,No immediate inspection required.
MTR_001,Low,10.0,14,0.019178082191780823,2,-0.037792839941710454,2008-11-23,No immediate inspection required.
